epoch,step,train/loss,train/reward,val/reward
0,19,,,-8.69534683227539
1,39,,,-3.8852105140686035
2,49,-65.88771057128906,-4.592174053192139,
2,59,,,-3.458559989929199
3,79,,,-2.9968388080596924
4,99,-24.854501724243164,-3.40576434135437,
4,99,,,-3.089174747467041
5,119,,,-3.056957483291626
6,139,,,-2.8156704902648926
7,149,-15.87248420715332,-3.156419277191162,
7,159,,,-2.7390692234039307
8,179,,,-2.9601197242736816
9,199,-13.53628158569336,-3.0197155475616455,
9,199,,,-2.744290828704834
